"LogD","IDNUMBER","NEW_SMILES","AMW","SMILES_H"
1.497,"8019-6000","O=C1OCCN1c1cc2c(cc1[N+](=O)[O-])OCO2",252.18199999999996,"[H]c1c2c(c([H])c([N+](=O)[O-])c1N1C(=O)OC([H])([H])C1([H])[H])OC([H])([H])O2"
-0.037,"FF01-3151","O=C(O)CCCC(=O)N1CC2CCCN2c2ccccc21",288.347,"[H]OC(=O)C([H])([H])C([H])([H])C([H])([H])C(=O)N1c2c([H])c([H])c([H])c([H])c2N2C([H])([H])C([H])([H])C([H])([H])C2([H])C1([H])[H]"
1.278,"8017-1882","Cc1cc(C)c(C2=NNC(O)(C(F)(F)F)C2)c(=O)[nH]1",275.22999999999996,"[H]OC1(C(F)(F)F)N([H])N=C(c2c(C([H])([H])[H])c([H])c(C([H])([H])[H])n([H])c2=O)C1([H])[H]"
2.201,"8010-3054","CC1CC(=O)Nc2ccc(Br)cc2N1C=O",283.125,"[H]C(=O)N1c2c([H])c(Br)c([H])c([H])c2N([H])C(=O)C([H])([H])C1([H])C([H])([H])[H]"
2.412,"5408-0100","CCOC(=O)CC1=Nc2cc(C)c(C)cc2NC(=O)C1",274.32000000000005,"[H]c1c2c(c([H])c(C([H])([H])[H])c1C([H])([H])[H])N([H])C(=O)C([H])([H])C(C([H])([H])C(=O)OC([H])([H])C([H])([H])[H])=N2"
1.467,"Y501-1868","Cc1nn(C)cc1C12CC(=O)C(=O)N1c1ccccc1N2",282.303,"[H]c1c([H])c([H])c2c(c1[H])N([H])C1(c3c(C([H])([H])[H])nn(C([H])([H])[H])c3[H])N2C(=O)C(=O)C1([H])[H]"
2.759,"F541-0049","Cc1nc2cc(-c3noc(C4CC4)n3)ccc2n(C)c1=O",282.303,"[H]c1c(-c2noc(C3([H])C([H])([H])C3([H])[H])n2)c([H])c2nc(C([H])([H])[H])c(=O)n(C([H])([H])[H])c2c1[H]"
1.348,"FF01-3552","CNS(=O)(=O)c1ccc2c(c1)NC(=O)C1CCCCN21",295.36400000000003,"[H]c1c([H])c(S(=O)(=O)N([H])C([H])([H])[H])c([H])c2c1N1C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])C(=O)N2[H]"
2.787,"D479-0040","CC(C)COC(=O)N1c2ccccc2NC(=O)CC1C",276.336,"[H]c1c([H])c([H])c2c(c1[H])N([H])C(=O)C([H])([H])C([H])(C([H])([H])[H])N2C(=O)OC([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H]"
2.025,"Y700-0098","CC(=O)c1c(O)cc2n(c1=O)-c1ccccc1C2(C)C",269.3,"[H]Oc1c([H])c2n(c(=O)c1C(=O)C([H])([H])[H])-c1c([H])c([H])c([H])c([H])c1C2(C([H])([H])[H])C([H])([H])[H]"
1.711,"8013-1982","COC(=O)c1cc(=O)n2c(n1)sc1cc(OC)ccc12",290.3,"[H]c1c(OC([H])([H])[H])c([H])c2sc3nc(C(=O)OC([H])([H])[H])c([H])c(=O)n3c2c1[H]"
2.487,"C066-2867","Cn1c(=O)c(C=O)c(Cl)c2ccc(Cl)cc21",256.088,"[H]C(=O)c1c(Cl)c2c([H])c([H])c(Cl)c([H])c2n(C([H])([H])[H])c1=O"
0.769,"8005-2304","CC(C=CN(C)C)=C1C(=O)N(C)c2ccccc2N(C)C1=O",299.3740000000001,"[H]C(=C([H])N(C([H])([H])[H])C([H])([H])[H])C(=C1C(=O)N(C([H])([H])[H])c2c([H])c([H])c([H])c([H])c2N(C([H])([H])[H])C1=O)C([H])([H])[H]"
0.681,"L150-0604","N=c1[nH]nc(SCc2nc3ccccc3[nH]c2=O)s1",291.36100000000005,"[H]N=c1sc(SC([H])([H])c2nc3c([H])c([H])c([H])c([H])c3n([H])c2=O)nn1[H]"
1.261,"D264-0298","Cc1ccc2cc(CNCC(C)O)c(=O)[nH]c2c1C",260.337,"[H]OC([H])(C([H])([H])[H])C([H])([H])N([H])C([H])([H])c1c([H])c2c([H])c([H])c(C([H])([H])[H])c(C([H])([H])[H])c2n([H])c1=O"
1.448,"T599-3629","CCCC(=O)N1CCCN(S(C)(=O)=O)c2ccccc21",296.392,"[H]c1c([H])c([H])c2c(c1[H])N(C(=O)C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])N2S(=O)(=O)C([H])([H])[H]"
2.215,"T890-0007","CCCC(=O)N1CCC2(CC1)Nc1ccccc1NC2=O",287.363,"[H]c1c([H])c([H])c2c(c1[H])N([H])C(=O)C1(N2[H])C([H])([H])C([H])([H])N(C(=O)C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])C1([H])[H]"
1.838,"Y010-0333","O=c1cc(O)c2c(=O)n3c4c(cccc4c2o1)CC3",255.22899999999996,"[H]Oc1c([H])c(=O)oc2c1c(=O)n1c3c(c([H])c([H])c([H])c23)C([H])([H])C1([H])[H]"
1.476,"Y043-5005","Cc1nc2cc(NC(=O)c3ccn4nnnc4c3)ccc2[nH]1",293.29,"[H]c1c(N([H])C(=O)c2c([H])c([H])n3nnnc3c2[H])c([H])c2nc(C([H])([H])[H])n([H])c2c1[H]"
2.601,"T599-3419","Cc1noc(C)c1CC(=O)N1CCCN(C)c2ccccc21",299.37399999999997,"[H]c1c([H])c([H])c2c(c1[H])N(C(=O)C([H])([H])c1c(C([H])([H])[H])noc1C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])N2C([H])([H])[H]"
1.656,"FF30-0252","O=c1c(CN2CCNCC2)cc2cccc3c2n1CCC3",283.37500000000006,"[H]c1c([H])c2c3c(c1[H])c([H])c(C([H])([H])N1C([H])([H])C([H])([H])N([H])C([H])([H])C1([H])[H])c(=O)n3C([H])([H])C([H])([H])C2([H])[H]"
1.424,"8020-2870","CC1(C)C(=O)Nc2ccccc2N1C(=O)CCl",252.70099999999996,"[H]c1c([H])c([H])c2c(c1[H])N([H])C(=O)C(C([H])([H])[H])(C([H])([H])[H])N2C(=O)C([H])([H])Cl"
2.772,"8013-2747","O=C1CC(c2cccs2)c2cc3c(cc2N1)OCO3",273.313,"[H]c1sc(C2([H])c3c([H])c4c(c([H])c3N([H])C(=O)C2([H])[H])OC([H])([H])O4)c([H])c1[H]"
1.241,"8018-7844","CCOC(=O)c1nc2c3nsnc3ccc2n(C)c1=O",290.3040000000001,"[H]c1c([H])c2c(nc(C(=O)OC([H])([H])C([H])([H])[H])c(=O)n2C([H])([H])[H])c2nsnc12"
0.825,"Y021-2299","COC(=O)c1cc(=O)n2c3ccccc3n(N)c2n1",258.237,"[H]c1c([H])c([H])c2c(c1[H])n(N([H])[H])c1nc(C(=O)OC([H])([H])[H])c([H])c(=O)n21"
1.825,"8014-1235","Cc1c(SCCO)c(=O)[nH]c2cc3c(cc12)OCO3",279.31700000000006,"[H]OC([H])([H])C([H])([H])Sc1c(C([H])([H])[H])c2c([H])c3c(c([H])c2n([H])c1=O)OC([H])([H])O3"
2.376,"8018-5779","O=C1CC(C2CC2)c2c(c3ccccc3[nH]c2=O)O1",255.27300000000002,"[H]c1c([H])c([H])c2c(c1[H])c1c(c(=O)n2[H])C([H])(C2([H])C([H])([H])C2([H])[H])C([H])([H])C(=O)O1"
1.837,"C301-9101","CCC(=O)Nc1cc(-n2cnnn2)ccc1N1CCCC1",286.3390000000001,"[H]c1c([H])c(-n2nnnc2[H])c([H])c(N([H])C(=O)C([H])([H])C([H])([H])[H])c1N1C([H])([H])C([H])([H])C([H])([H])C1([H])[H]"
2.375,"8010-1146","O=[N+]([O-])c1ccc2[nH]c(O)c3c(c(O)[nH]c2c1)CCCC3",289.2910000000001,"[H]Oc1c2c(c(O[H])n([H])c3c([H])c([N+](=O)[O-])c([H])c([H])c3n1[H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H]"
1.487,"F403-0096","CC(C)NC(=O)CN1C(=O)C2CCCC2=Nc2ccccc21",299.37399999999997,"[H]c1c([H])c([H])c2c(c1[H])N=C1C([H])([H])C([H])([H])C([H])([H])C1([H])C(=O)N2C([H])([H])C(=O)N([H])C([H])(C([H])([H])[H])C([H])([H])[H]"
-0.668,"Y700-0560","O=C(O)CCNC(=O)N1CC(=O)Nc2ccccc21",263.25300000000004,"[H]OC(=O)C([H])([H])C([H])([H])N([H])C(=O)N1c2c([H])c([H])c([H])c([H])c2N([H])C(=O)C1([H])[H]"
0.558,"8020-8846","CC(=O)Nc1cc2c(cc1-n1cnnn1)OCCO2",261.241,"[H]c1c2c(c([H])c(-n3nnnc3[H])c1N([H])C(=O)C([H])([H])[H])OC([H])([H])C([H])([H])O2"
1.583,"Y600-1317","C=C(c1c(C)[nH]n(-c2ccc([N+](=O)[O-])cc2)c1=O)N(C)C",288.307,"[H]C([H])=C(c1c(C([H])([H])[H])n([H])n(-c2c([H])c([H])c([N+](=O)[O-])c([H])c2[H])c1=O)N(C([H])([H])[H])C([H])([H])[H]"
2.077,"8018-9652","CC(=O)c1cc2c(cc1NC(=O)C1CC1)OCCO2",261.27699999999993,"[H]c1c2c(c([H])c(N([H])C(=O)C3([H])C([H])([H])C3([H])[H])c1C(=O)C([H])([H])[H])OC([H])([H])C([H])([H])O2"
2.957,"C276-0027","O=C1CC(c2ccccc2F)c2cc3c(cc2N1)OCCO3",299.30100000000004,"[H]c1c([H])c([H])c(C2([H])c3c([H])c4c(c([H])c3N([H])C(=O)C2([H])[H])OC([H])([H])C([H])([H])O4)c(F)c1[H]"
1.035,"Y080-0245","CC1CC(=O)Nc2ccccc2N1C(=O)C1CCCO1",274.32,"[H]c1c([H])c([H])c2c(c1[H])N([H])C(=O)C([H])([H])C([H])(C([H])([H])[H])N2C(=O)C1([H])OC([H])([H])C([H])([H])C1([H])[H]"
2.471,"C276-0082","COc1cc2c(cc1OC)C(c1ccc(O)cc1)CC(=O)N2",299.326,"[H]Oc1c([H])c([H])c(C2([H])c3c([H])c(OC([H])([H])[H])c(OC([H])([H])[H])c([H])c3N([H])C(=O)C2([H])[H])c([H])c1[H]"
2.821,"8015-3842","N#Cc1c(C(F)(F)F)cc(=O)n2c1[nH]c1ccccc12",277.20500000000004,"[H]c1c([H])c([H])c2c(c1[H])n([H])c1c(C#N)c(C(F)(F)F)c([H])c(=O)n21"
2.54,"8002-0549","C=c1cc2c(=Cc3ccc(O)c(OC)c3)oc(O)c2c(=O)[nH]1",299.282,"[H]Oc1c([H])c([H])c(C([H])=c2oc(O[H])c3c(=O)n([H])c(=C([H])[H])c([H])c23)c([H])c1OC([H])([H])[H]"
1.864,"8016-2514","O=c1c(Cl)c(NC2CC2)cnn1-c1ccccc1",261.712,"[H]c1nn(-c2c([H])c([H])c([H])c([H])c2[H])c(=O)c(Cl)c1N([H])C1([H])C([H])([H])C1([H])[H]"
1.739,"8017-2020","COCc1cc(=O)n2c([nH]c3ccccc32)c1C#N",253.261,"[H]c1c([H])c([H])c2c(c1[H])n([H])c1c(C#N)c(C([H])([H])OC([H])([H])[H])c([H])c(=O)n21"
0.832,"8010-2998","O=C1CCN(C(=O)CCCl)c2ccccc2N1",252.70100000000002,"[H]c1c([H])c([H])c2c(c1[H])N([H])C(=O)C([H])([H])C([H])([H])N2C(=O)C([H])([H])C([H])([H])Cl"
1.021,"3454-1904","CCOC(=O)COn1c(=O)c(C)[n+]([O-])c2ccccc21",278.264,"[H]c1c([H])c([H])c2c(c1[H])n(OC([H])([H])C(=O)OC([H])([H])C([H])([H])[H])c(=O)c(C([H])([H])[H])[n+]2[O-]"
1.074,"Y600-3606","CC(=NCC1CCCO1)c1c(C)[nH]n(-c2ccccc2)c1=O",299.3740000000001,"[H]c1c([H])c([H])c(-n2c(=O)c(C(=NC([H])([H])C3([H])OC([H])([H])C([H])([H])C3([H])[H])C([H])([H])[H])c(C([H])([H])[H])n2[H])c([H])c1[H]"
2.993,"D479-0147","CCC(CC)C(=O)N1CC(C)C(=O)Nc2ccccc21",274.36400000000003,"[H]c1c([H])c([H])c2c(c1[H])N([H])C(=O)C([H])(C([H])([H])[H])C([H])([H])N2C(=O)C([H])(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H]"
2.892,"D428-0166","CC1CC(=O)N(Cc2ccccc2)c2ccccc2N1",266.344,"[H]c1c([H])c([H])c(C([H])([H])N2C(=O)C([H])([H])C([H])(C([H])([H])[H])N([H])c3c([H])c([H])c([H])c([H])c32)c([H])c1[H]"
2.263,"C200-7765","COc1ccc(-c2noc(-c3ccc[nH]c3=O)n2)cc1OC",299.28600000000006,"[H]c1c([H])c(-c2noc(-c3c([H])c([H])c([H])n([H])c3=O)n2)c([H])c(OC([H])([H])[H])c1OC([H])([H])[H]"
2.302,"D479-0239","O=C1CN(C(=O)Oc2ccccc2)c2ccccc2N1",268.272,"[H]c1c([H])c([H])c(OC(=O)N2c3c([H])c([H])c([H])c([H])c3N([H])C(=O)C2([H])[H])c([H])c1[H]"
2.537,"Y044-5566","CC(C)C(=O)Nc1cc(Cl)ccc1N1CCCC1=O",280.755,"[H]c1c([H])c(N2C(=O)C([H])([H])C([H])([H])C2([H])[H])c(N([H])C(=O)C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c1Cl"
2.623,"2446-0033","Cc1cc(=O)n(-c2ccc(C(F)(F)F)cc2[N+](=O)[O-])[nH]1",287.197,"[H]c1c([H])c(C(F)(F)F)c([H])c([N+](=O)[O-])c1-n1c(=O)c([H])c(C([H])([H])[H])n1[H]"
0.914,"Y021-8776","Cc1nc2nnc3c(=O)[nH]c4ccccc4c3n2n1",252.23700000000002,"[H]c1c([H])c([H])c2c(c1[H])c1c(nnc3nc(C([H])([H])[H])nn31)c(=O)n2[H]"
1.059,"Y700-0241","CCOC(=O)c1nc2c(=O)[nH]c3cc(C)ccc3n2n1",272.264,"[H]c1c(C([H])([H])[H])c([H])c2c(c1[H])n1nc(C(=O)OC([H])([H])C([H])([H])[H])nc1c(=O)n2[H]"
1.536,"8017-0151","CC1(C(=O)O)CCC(C(=O)Nc2ccccc2N)C1(C)C",290.36300000000006,"[H]OC(=O)C1(C([H])([H])[H])C([H])([H])C([H])([H])C([H])(C(=O)N([H])c2c([H])c([H])c([H])c([H])c2N([H])[H])C1(C([H])([H])[H])C([H])([H])[H]"
2.063,"8016-9972","COC(=O)Cn1c(=O)c2c(c3ccccc31)CCC2",257.289,"[H]c1c([H])c([H])c2c(c1[H])c1c(c(=O)n2C([H])([H])C(=O)OC([H])([H])[H])C([H])([H])C([H])([H])C1([H])[H]"
0.197,"T599-3553","CC(=O)NCC(=O)N1CCCN(C)c2ccccc21",261.325,"[H]c1c([H])c([H])c2c(c1[H])N(C(=O)C([H])([H])N([H])C(=O)C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])N2C([H])([H])[H]"
1.122,"8019-4706","Cc1c(CCC(=O)O)c(=O)n2c([nH]c3ccccc32)c1C#N",295.29800000000006,"[H]OC(=O)C([H])([H])C([H])([H])c1c(C([H])([H])[H])c(C#N)c2n([H])c3c([H])c([H])c([H])c([H])c3n2c1=O"
1.899,"T599-3693","O=C(C1CC1)N1CCCN(C(=O)C2CC2)c2ccccc21",284.35900000000004,"[H]c1c([H])c([H])c2c(c1[H])N(C(=O)C1([H])C([H])([H])C1([H])[H])C([H])([H])C([H])([H])C([H])([H])N2C(=O)C1([H])C([H])([H])C1([H])[H]"
2.436,"G353-0279","COc1ccc(C2=Nc3ccccc3NC(=O)C2)cc1",266.3,"[H]c1c([H])c([H])c2c(c1[H])N=C(c1c([H])c([H])c(OC([H])([H])[H])c([H])c1[H])C([H])([H])C(=O)N2[H]"
1.455,"3454-1892","O=c1c(-c2ccccc2)[n+]([O-])c2ccccc2n1O",254.24499999999998,"[H]On1c(=O)c(-c2c([H])c([H])c([H])c([H])c2[H])[n+]([O-])c2c([H])c([H])c([H])c([H])c21"
1.649,"8019-5983","CCOC(=O)C(=O)Nc1cc2c(cc1[N+](=O)[O-])OCO2",282.208,"[H]c1c2c(c([H])c([N+](=O)[O-])c1N([H])C(=O)C(=O)OC([H])([H])C([H])([H])[H])OC([H])([H])O2"
-0.321,"F404-0068","COC(=O)CC1=Nc2ccccc2N(CC(N)=O)C(=O)C1",289.29100000000005,"[H]c1c([H])c([H])c2c(c1[H])N=C(C([H])([H])C(=O)OC([H])([H])[H])C([H])([H])C(=O)N2C([H])([H])C(=O)N([H])[H]"
0.97,"K844-0647","NNC(=O)c1c(O)c2cccc3c2n(c1=O)CCC3",259.265,"[H]Oc1c(C(=O)N([H])N([H])[H])c(=O)n2c3c(c([H])c([H])c([H])c13)C([H])([H])C([H])([H])C2([H])[H]"
1.692,"Z603-8387","CCNC(=O)N1C=CC(C(=O)Nc2ccc(F)cc2)CC1",291.3260000000001,"[H]C1=C([H])C([H])(C(=O)N([H])c2c([H])c([H])c(F)c([H])c2[H])C([H])([H])C([H])([H])N1C(=O)N([H])C([H])([H])C([H])([H])[H]"
1.813,"8006-4572","Cc1n[nH]c(SCC(=O)Nc2ccccc2[N+](=O)[O-])n1",293.30800000000005,"[H]c1c([H])c([H])c([N+](=O)[O-])c(N([H])C(=O)C([H])([H])Sc2nc(C([H])([H])[H])nn2[H])c1[H]"
2.066,"8020-7511","CC(=O)n1cc(Nc2ccc3c(c2)OCCO3)cc1O",274.27599999999995,"[H]Oc1c([H])c(N([H])c2c([H])c([H])c3c(c2[H])OC([H])([H])C([H])([H])O3)c([H])n1C(=O)C([H])([H])[H]"
2.78,"Z601-6458","Cc1cc2nc(C(=O)NC3CC3)c(=O)n(C)c2cc1C",271.32,"[H]c1c(C([H])([H])[H])c(C([H])([H])[H])c([H])c2c1nc(C(=O)N([H])C1([H])C([H])([H])C1([H])[H])c(=O)n2C([H])([H])[H]"
1.152,"C279-0861","COc1ccc2cc(CCNS(C)(=O)=O)c(=O)[nH]c2c1",296.348,"[H]c1c(OC([H])([H])[H])c([H])c2c(c1[H])c([H])c(C([H])([H])C([H])([H])N([H])S(=O)(=O)C([H])([H])[H])c(=O)n2[H]"
0.696,"F353-0079","Cc1nc2cc(C(=O)N3CCOCC3)ccc2n(C)c1=O",287.319,"[H]c1c(C(=O)N2C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])c([H])c2nc(C([H])([H])[H])c(=O)n(C([H])([H])[H])c2c1[H]"
0.273,"C301-6635","COC(=O)c1cc2c(cc1[N+](=O)[O-])n(C)c(=O)c(=O)n2C",293.235,"[H]c1c(C(=O)OC([H])([H])[H])c([N+](=O)[O-])c([H])c2c1n(C([H])([H])[H])c(=O)c(=O)n2C([H])([H])[H]"
2.728,"1814-1808","O=C1Nc2ccccc2C1=Cc1cc([N+](=O)[O-])ccc1O",282.255,"[H]Oc1c([H])c([H])c([N+](=O)[O-])c([H])c1C([H])=C1C(=O)N([H])c2c([H])c([H])c([H])c([H])c21"
1.859,"K783-4441","COC(O)c1ccc2nc(CC(C)C)c(=O)[nH]c2c1",262.30899999999997,"[H]OC([H])(OC([H])([H])[H])c1c([H])c([H])c2nc(C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])c(=O)n([H])c2c1[H]"
2.285,"Y509-8299","Cc1ccc(NC(=O)C2CCCO2)c([N+](=O)[O-])c1",250.25399999999996,"[H]c1c([H])c(C([H])([H])[H])c([H])c([N+](=O)[O-])c1N([H])C(=O)C1([H])OC([H])([H])C([H])([H])C1([H])[H]"
1.724,"C200-3145","CCOC(=O)CC(=O)Nc1cc2c(cc1C(C)=O)OCO2",293.27500000000003,"[H]c1c2c(c([H])c(N([H])C(=O)C([H])([H])C(=O)OC([H])([H])C([H])([H])[H])c1C(=O)C([H])([H])[H])OC([H])([H])O2"
1.186,"6080-0271","CCOC(=O)COc1ccc(=O)n(-c2ccccc2)n1",274.276,"[H]c1c([H])c([H])c(-n2nc(OC([H])([H])C(=O)OC([H])([H])C([H])([H])[H])c([H])c([H])c2=O)c([H])c1[H]"
2.874,"S579-0051","O=C(Cc1c(O)[nH]c2c1CCCC2)Nc1cccc(F)c1",288.32199999999995,"[H]Oc1c(C([H])([H])C(=O)N([H])c2c([H])c([H])c([H])c(F)c2[H])c2c(n1[H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H]"
2.109,"3736-0308","C=c1ccsc1=Cc1c(O)[nH]n(-c2ccccc2)c1=O",284.3400000000001,"[H]Oc1c(C([H])=c2sc([H])c([H])c2=C([H])[H])c(=O)n(-c2c([H])c([H])c([H])c([H])c2[H])n1[H]"
1.315,"G373-0384","CN(C)C(=O)c1ccc2c(c1)NC(=O)C1CCCCN21",273.33599999999996,"[H]c1c([H])c2c(c([H])c1C(=O)N(C([H])([H])[H])C([H])([H])[H])N([H])C(=O)C1([H])N2C([H])([H])C([H])([H])C([H])([H])C1([H])[H]"
1.709,"2321-0669","O=C(NN=Cc1ccco1)c1cc(=O)[nH]c2ccccc12",281.271,"[H]C(=NN([H])C(=O)c1c([H])c(=O)n([H])c2c([H])c([H])c([H])c([H])c12)c1oc([H])c([H])c1[H]"
2.136,"Y508-4392","C=c1[nH]n(-c2ccccc2)c(=O)c1=Cc1cnn(CC)c1C",294.358,"[H]C(c1c([H])nn(C([H])([H])C([H])([H])[H])c1C([H])([H])[H])=c1c(=C([H])[H])n([H])n(-c2c([H])c([H])c([H])c([H])c2[H])c1=O"
0.154,"P574-1930","Cc1[nH]c(=N)n(CC(=O)N2CCc3ccccc32)c(=O)c1C",298.34600000000006,"[H]N=c1n([H])c(C([H])([H])[H])c(C([H])([H])[H])c(=O)n1C([H])([H])C(=O)N1c2c([H])c([H])c([H])c([H])c2C([H])([H])C1([H])[H]"
2.495,"3772-8529","Cc1ccc(C=C(C#N)C(=O)Nc2ccccc2[N+](=O)[O-])o1",297.2700000000001,"[H]C(=C(C#N)C(=O)N([H])c1c([H])c([H])c([H])c([H])c1[N+](=O)[O-])c1oc(C([H])([H])[H])c([H])c1[H]"
1.324,"5593-1885","CCNC(=S)Nc1c(C)n(C)n(-c2ccccc2)c1=O",290.39200000000005,"[H]c1c([H])c([H])c(-n2c(=O)c(N([H])C(=S)N([H])C([H])([H])C([H])([H])[H])c(C([H])([H])[H])n2C([H])([H])[H])c([H])c1[H]"
2.592,"8017-3959","O=c1[nH]c2ccccc2[nH]c1=NCc1ccccc1",251.289,"[H]c1c([H])c([H])c(C([H])([H])N=c2c(=O)n([H])c3c([H])c([H])c([H])c([H])c3n2[H])c([H])c1[H]"
-0.934,"8017-3908","O=C(O)COCC(=O)N1CC(=O)Nc2ccccc21",264.237,"[H]OC(=O)C([H])([H])OC([H])([H])C(=O)N1c2c([H])c([H])c([H])c([H])c2N([H])C(=O)C1([H])[H]"
1.062,"8020-1892","CCOC(=O)c1nc2cc(OC)c(OC)cc2[nH]c1=O",278.264,"[H]c1c(OC([H])([H])[H])c(OC([H])([H])[H])c([H])c2c1nc(C(=O)OC([H])([H])C([H])([H])[H])c(=O)n2[H]"
2.978,"D015-0269","O=c1[nH]c2ccc(Cl)cc2c(O)c1Cc1ccccc1",285.72999999999996,"[H]Oc1c(C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])c(=O)n([H])c2c([H])c([H])c(Cl)c([H])c12"
1.157,"8016-2116","COc1cc(C#N)c(NC(=O)CN2CCCC2)cc1OC",289.335,"[H]c1c(C#N)c(N([H])C(=O)C([H])([H])N2C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c([H])c(OC([H])([H])[H])c1OC([H])([H])[H]"
2.719,"C301-0252","O=C(Cc1nc2ccccc2[nH]c1=O)c1ccc(Cl)cc1",298.72900000000004,"[H]c1c([H])c(C(=O)C([H])([H])c2nc3c([H])c([H])c([H])c([H])c3n([H])c2=O)c([H])c([H])c1Cl"
